"","MF","MW","Ncharges","C","I","N","O","S","Br","Cl","F","H","P","Na","K","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP30985","C23N5O3",394.2778,0,23,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,4,101.48,2.5858
"CMP30986","C17BrNO",314.092,0,17,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.7102
"CMP30987","C15BrClF2NO",363.5204064,0,15,0,1,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,5.3228
"CMP30988","C12Cl2F2N2O",297.0440064,0,12,0,2,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,41.99,3.9919
"CMP30989","C19NO4",306.2076,0,19,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,2,56.79,3.2225
"CMP30990","C14N2O2",228.162,0,14,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,51.22,2.9237
"CMP30991","C25N6O4",448.3053,0,25,0,6,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,5,4,117.86,2.1109
"CMP30992","C22N5O4",398.2665,0,22,0,5,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,5,4,114.62,2.1694
"CMP30993","C20N5O3",358.2457,0,20,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,3,101.48,1.8564
"CMP30994","C17N5O3",322.2136,0,17,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,3,101.48,1.0154
"CMP30995","C20N5O3",358.2457,0,20,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,4,105.39,2.4706
