"","MF","MW","Ncharges","C","Cl","N","O","S","H","I","F","Br","Ge","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP2372","C54N8O12S",984.6892,0,54,0,8,12,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6,0,1,10,6,291.15,8.59408
"CMP2373","C27H4N5O10",558.34816,0,27,0,5,10,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,1,6,4,216.82,0.48528
"CMP2374","C39N7O10",726.4582,0,39,0,7,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,0,1,7,6,215.52,4.68578
"CMP2375","C21N2O5",360.2351,0,21,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,3,95.96,3.35438
"CMP2376","C37HN8O8S2",749.58264,0,37,0,8,8,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,7,6,242.66,6.32358
"CMP2377","C43ClN6O7",747.9491,0,43,1,6,7,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,1,0,0,8,5,165.73,6.8578
"CMP2378","C41HClN6O7S",757.00064,0,41,1,6,7,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,8,4,174.11,8.1269
"CMP2379","C43ClN7O7",761.9558,0,43,1,7,7,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,0,0,7,4,168.97,6.5508
"CMP2380","C41HClN7O6S",755.00794,0,41,1,7,6,1,1,0,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,7,4,164.21,7.4467
"CMP2381","C55ClN7O10S",986.1474,0,55,1,7,10,1,0,0,0,0,0,0,2,0,0,1,0,2,1,0,2,0,0,10,4,250.59,9.6215
"CMP2382","C28H4ClN4O8",559.80636,0,28,1,4,8,0,4,0,0,0,0,0,1,0,0,4,0,2,0,0,2,0,0,6,2,176.26,1.5127
"CMP2383","C40ClN6O8",727.9164,0,40,1,6,8,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,2,0,0,7,4,174.96,5.7132
